Kansas City Building Reporting ID,Property Name,Zip Code,Parent Property Name,Year Ending,Square Feet,Primary Property Type,All Property Use Types,Year Built,ENERGY STAR Score,Site Energy Use (kBtu),Site EUI (kBtu/ft²),National Median Site Energy Use (kBtu),National Median Site EUI (kBtu/ft²),% Difference from National Median Site EUI,Source Energy Use (kBtu),Source EUI (kBtu/ft²),National Median Source Energy Use (kBtu),National Median Source EUI (kBtu/ft²),% Difference from National Median Source EUI,Weather Normalized Site Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source EUI (kBtu/ft²),Energy Cost ($),Energy Cost Intensity ($/ft²),Water Use (kgal),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/ft²),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions Intensity (kgCO2e/ft²),eGRID Subregion,eGRID Output Emissions Rate (kgCO2e/MBtu),Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
53-IS-12610,KCI-Export Facility,64153,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"7,984",Distribution Center,Distribution Center,1960,61,"322,975.3",40.5,"386,131.7",48.4,-16.4,"339,124.1",42.5,"405,438.3",50.8,-16.4,"395,407.8",49.5,"415,178.2",52,"2,316.94",0.29,,17.2,2.1,0,0,(SRMW) SRMW (Middle Mississippi),237.4,"12600 NW Prairie View Rd
Kansas City, Missouri 64153
(39.323926, -94.711009)",203,5,3,133
16-IS-00955,MK - 915 NW Lou Holland,64116,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"17,592",Transportation Terminal/Station,Non-Refrigerated Warehouse,1960,77,"547,625.8",31.1,"867,675.2",49.3,-36.9,"575,007.1",32.7,"911,058.9",51.8,-36.9,"642,980.8",36.5,"675,129.8",38.4,"4,813.24",0.27,,29.1,1.7,0,0,(SPNO) SPNO (KS-Western MO),210.9,"915 NW Lou Holland Dr
Kansas City, Missouri 64116
(39.127014, -94.595836)",241,4,4,167
16-IS-00930,903 NW Lou Holland,64116,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"17,592",Transportation Terminal/Station,Non-Refrigerated Warehouse,1960,39,"1,083,953",61.6,"934,491.8",53.1,16,"1,138,150.7",64.7,"981,216.3",55.8,16,"1,083,953.0",61.6,"1,138,150.7",64.7,"2,808.40",0.16,,57.6,3.3,0,0,(SPNO) SPNO (KS-Western MO),210.9,"903 NW Lou Holland Dr
Kansas City, Missouri 64116
(39.126467, -94.59633)",241,4,4,167
53-IS-11610,KCI-Fuel/Wash Facility,64153,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"3,000",Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,1960,,"1,871,411",623.8,"71,003.2",23.7,"2,535.7","4,741,324.7","1,580.4","179,890.5",60,"2,535.7","1,936,555.6",645.5,"4,809,726.5","1,603.2","51,985.97",17.33,,28.8,9.6,315.4,105.1,(SRMW) SRMW (Middle Mississippi),237.4,"194 Bogota St
Kansas City, Missouri 64153
(39.302858, -94.721514)",203,5,3,130
20-IS-01720,Hazardous Waste and Recycling Center,64120,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"1,600",Other,Non-Refrigerated Warehouse,1960,,"789,182.6",493.2,"52,005.3",32.5,"1,417.5","1,455,916.8",909.9,"95,941.6",60,"1,417.5","858,227.4",536.4,"1,487,895.1",929.9,"16,921.56",10.58,8.3,26,16.2,63.3,39.6,(SPNO) SPNO (KS-Western MO),210.9,"4739 Deramus
Kansas City, Missouri 64120
(39.138312, -94.523397)",53,4,7,144
09-IS-03210,Mohart Center,64109,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"61,611",Social/Meeting Hall,Social/Meeting Hall,1960,,"3,351,586.5",54.4,"2,056,944.6",33.4,62.9,"7,011,009.5",113.8,"4,302,815.6",69.8,62.9,"3,698,065.9",60,"7,240,572.6",117.5,"85,318.68",1.38,75,89.3,1.4,352.4,5.7,(SPNO) SPNO (KS-Western MO),210.9,"3200 Wayne Ave
Kansas City, Missouri 64109
(39.067553, -94.564473)",78,3,7,19
02-IS-01720,American Royal Complex,64102,American Royal Complex,12/31/2016 12:00:00 AM,"497,181",Convention Center,Convention Center,1960,,"17,804,808.5",35.8,"11,896,450.4",23.9,49.7,"51,967,147.6",104.5,"34,722,340.8",69.8,49.7,"18,274,609.4",36.8,"52,460,438.5",105.5,"796,638.30",1.60,"4,034.3",100.1,0.2,"3,357.4",6.8,(SPNO) SPNO (KS-Western MO),210.9,"1701 American Royal
Kansas City, Missouri 64102
(39.09327, -94.605361)",241,4,7,20
05-IS-01325,Bartle Hall Expansion and Conference Center,64105,Convention Center Complex,12/31/2016 12:00:00 AM,"75,568",Convention Center,Convention Center,1960,,,,"3,422,582.7",45.3,,,,"5,277,550.5",69.8,,"14,237,011.200000001",188.4,"17,131,265.599999998",226.7,,,"1,308",0,0,0,0,(SPNO) SPNO (KS-Western MO),210.9,"301 W 13th St
Kansas City, Missouri 64105
(39.0988, -94.58697)",5,4,7,72
05-IS-01350,Convention Center Complex,64105,Convention Center Complex,12/31/2016 12:00:00 AM,"1,791,008",Convention Center,Convention Center,1976,,"101,735,791.4",56.8,"72,096,184",40.3,41.1,"176,503,568.6",98.5,"125,081,188.2",69.8,41.1,"109,355,403.9",61.1,"185,670,275.6",103.7,"3,588,851.74",2.00,,25.8,0,"10,693.4",6,(SPNO) SPNO (KS-Western MO),210.9,"301 W 13th St
Kansas City, Missouri 64105
(39.0988, -94.58697)",5,4,7,72
02-IS-02020,Governor's Building,64102,American Royal Complex,12/31/2016 12:00:00 AM,"128,925",Convention Center,Social/Meeting Hall,1973,,"2,595,955.3",20.1,"2,867,490",22.2,-9.5,"8,151,299.6",63.2,"9,003,919.7",69.8,-9.5,"2,595,955.3",20.1,"8,151,299.6",63.2,"111,726.37",0.87,,0,0,547.5,4.2,(SPNO) SPNO (KS-Western MO),210.9,"1703 American Royal Ct
Kansas City, Missouri 64102
(39.09057, -94.603708)",241,4,7,20
05-IS-01315,Bartle Hall,64105,Convention Center Complex,12/31/2016 12:00:00 AM,"1,145,000",Convention Center,Convention Center,1976,,,,"51,858,685.7",45.3,,,,"79,965,003.2",69.8,,"43,052,000.0",37.6,"115,301,500.0",100.7,,,"5,028",0,0,0,0,(SPNO) SPNO (KS-Western MO),210.9,"301 W 13th St
Kansas City, Missouri 64105
(39.0988, -94.58697)",5,4,7,72
53-IS-11720,KCI-Equipment Storage Building,64153,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"78,000",Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,1960,60,"4,265,470.5",54.7,"5,002,135.6",64.1,-14.7,"5,110,019.4",65.5,"5,992,541.5",76.8,-14.7,"5,017,594.0",64.3,"5,925,434.5",76,"50,644.82",0.65,0,210.5,2.7,71.7,0.9,(SRMW) SRMW (Middle Mississippi),237.4,"2 N Manila Sq
Kansas City, Missouri 64153",,,,
53-IS-11710,KCI-Storeroom-Mexico City Ave. Central Warehouse,64153,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"79,600",Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,1960,4,"6,266,080.2",78.7,"2,524,625.4",31.7,148.2,"15,224,331.6",191.3,"6,133,935.4",77.1,148.2,"6,542,035.5",82.2,"15,266,054.6",191.8,"122,337.67",1.54,929.2,113.1,1.4,981.9,12.3,(SRMW) SRMW (Middle Mississippi),237.4,"533 Mexico City Ave
Kansas City, Missouri 64153
(39.304057, -94.718826)",203,5,3,130
32-IS-07215,Lakeside Nature Center,64132,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"17,000",Other - Recreation,Museum,1999,,"1,445,860.8",85.1,"460,774.2",27.1,213.8,"4,540,003",267.1,"1,446,831.2",85.1,213.8,"1,591,632.2",93.6,"4,997,725.2",294,"52,524.69",3.09,,0,0,304.9,17.9,(SPNO) SPNO (KS-Western MO),210.9,"4701 E Gregory Blvd
Kansas City, Missouri 64132
(38.996878, -94.532036)",131,2,7,151
02-IS-01810,Kemper Arena,64102,American Royal Complex,12/31/2016 12:00:00 AM,"283,856",Indoor Arena,Indoor Arena,1974,,"5,905,668.9",20.8,"9,769,420.9",34.4,-39.5,"14,603,849.3",51.4,"24,158,336.1",85.1,-39.5,"6,375,469.8",22.5,"15,097,140.3",53.2,"257,935.84",0.91,290.2,100.1,0.4,847.9,3,(SPNO) SPNO (KS-Western MO),210.9,"1800 Genessee St
Kansas City, Missouri 64102
(39.093352, -94.605201)",241,4,7,20
08-IS-01815,GEM Theatre,64108,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"34,896",Performing Arts,Performing Arts,1960,,"1,097,123.4",31.4,"945,833.9",27.1,16,"3,444,967.3",98.7,"2,969,918.9",85.1,16,"1,192,291.5",34.2,"3,743,795.4",107.3,"58,250.25",1.67,212.2,0,0,231.4,6.6,(SPNO) SPNO (KS-Western MO),210.9,"1615 E 18th St
Kansas City, Missouri 64108
(39.091177, -94.562626)",234,3,7,92
23-IS-00100,Kansas City Museum,64123,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"13,964",Museum,Museum,1909,,"4,989,836.2",357.3,"708,118.9",50.7,604.7,"8,374,500.4",599.7,"1,188,444.2",85.1,604.7,"5,416,281.2",387.9,"8,684,015.4",621.9,"72,690.16",5.21,27.8,185.4,13.3,316.4,22.7,(SPNO) SPNO (KS-Western MO),210.9,"3218 Gladstone Blvd
Kansas City, Missouri 64123
(39.115317, -94.542455)",202,4,7,76
